Kode,Nama,Variant,Variant Value,Kategori,Satuan Dasar,Harga Beli Acuan,Harga Jual Acuan,Kustomer Segment,Konversi Qty Satuan,Satuan Jual,MIN Qty,MAX Qty,Harga Jual
89686010015,INDOMIE KUAH,RASA,BAWANG,MIE INSTANT,PCS,,,,1,PCS,1,39,3000
89686010015,INDOMIE KUAH,RASA,SOTO,MIE INSTANT,PCS,,,,1,PCS,1,39,3000
89686010015,INDOMIE KUAH,RASA,BAWANG,MIE INSTANT,PCS,,,,40,BOX,1,4,108500
89686010015,INDOMIE KUAH,RASA,SOTO,MIE INSTANT,PCS,,,,40,BOX,1,4,108500
89686010015,INDOMIE KUAH,RASA,BAWANG,MIE INSTANT,PCS,,,,40,BOX,5,200,108000
89686010015,INDOMIE KUAH,RASA,SOTO,MIE INSTANT,PCS,,,,40,BOX,5,200,108000
89686010718,INDOMIE GORENG,RASA,GORENG BIASA,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,ACEHH,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,RENDANG,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,RICA RICA,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,AYAM GEPREK,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,SEBLAK,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,NYEMEK,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,CABE IJO,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,IGA PENYET,MIE INSTANT,PCS,,,,1,PCS,1,39,3200
89686010718,INDOMIE GORENG,RASA,GORENG BIASA,MIE INSTANT,PCS,,,,40,BOX,1,4,113500
89686010718,INDOMIE GORENG,RASA,ACEHH,MIE INSTANT,PCS,,,,40,BOX,1,4,113500
89686010718,INDOMIE GORENG,RASA,RENDANG,MIE INSTANT,PCS,,,,40,BOX,1,4,113500
89686010718,INDOMIE GORENG,RASA,RICA RICA,MIE INSTANT,PCS,,,,40,BOX,1,4,113500
89686010718,INDOMIE GORENG,RASA,AYAM GEPREK,MIE INSTANT,PCS,,,,40,BOX,1,4,113500
